,rotate,noise,affine,all,without_aug
0,0.9199281150159745,,0.9187300319488818,,0.9373003194888179
1,0.952276357827476,,0.9499800319488818,,0.9615615015974441
2,0.9582667731629393,,0.9621605431309904,,0.9681509584664537
3,0.9581669329073482,,0.9683506389776357,,0.9728434504792333
4,0.9680511182108626,,0.9691493610223643,,0.9746405750798722
5,0.9732428115015974,,0.9716453674121406,,0.9744408945686901
6,0.9736421725239617,,0.9749400958466453,,0.978035143769968
7,0.9735423322683706,,0.974341054313099,,0.974341054313099
8,0.9748402555910544,,0.9751397763578274,,0.9726437699680511
9,0.9745407348242812,,0.9789337060702875,,0.9771365814696485
